Name,DateTime,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Time
Monash,09/07/2019,0,1,30,36,20,30,36,13
Florey,09/07/2019,0,0,29,36,25,20,36,13
Civic,09/07/2019,0,0,25,30,25,16,30,13
Civic,09/06/2019,0,0,24,27,38,24,38,24
Florey,09/06/2019,0,11,29,35,32,35,35,24
Monash,09/06/2019,8,18,30,36,32,45,45,24
Florey,09/05/2019,0,16,30,36,28,35,36,24
Civic,09/05/2019,0,0,23,27,30,16,30,24
Monash,09/05/2019,5,25,31,36,26,61,61,24
Monash,09/04/2019,6,17,34,43,34,66,66,24
Florey,09/04/2019,9,11,33,40,58,48,58,23
Civic,09/04/2019,0,0,27,32,41,43,43,24
Civic,09/03/2019,0,0,24,29,28,20,29,24
Monash,09/03/2019,4,24,32,40,22,26,40,24
Florey,09/03/2019,6,15,32,39,43,21,43,24
Civic,09/02/2019,0,0,25,29,22,28,29,24
Monash,09/02/2019,4,18,32,39,26,54,54,24
Florey,09/02/2019,11,16,31,38,40,65,65,24
Monash,09/01/2019,10,23,34,41,31,63,63,24
Florey,09/01/2019,18,19,33,39,43,83,83,24
Civic,09/01/2019,0,0,27,33,22,30,33,24
Florey,08/31/2019,11,20,33,41,14,34,41,24
Civic,08/31/2019,0,0,28,34,15,17,34,24
Monash,08/31/2019,5,24,36,45,16,19,45,24
Florey,08/30/2019,5,3,32,39,11,13,39,24
Civic,08/30/2019,0,0,24,30,12,12,30,24
Monash,08/30/2019,0,16,32,40,8,3,40,24
Florey,08/29/2019,6,5,29,36,19,26,36,33
Civic,08/29/2019,0,0,23,29,16,19,29,33
Monash,08/29/2019,1,12,30,38,13,3,38,33
Monash,08/28/2019,4,15,30,37,19,35,37,24
Florey,08/28/2019,10,16,30,37,24,44,44,24
Civic,08/28/2019,0,0,24,28,22,31,31,24
Civic,08/27/2019,0,0,23,28,20,23,28,24
Monash,08/27/2019,1,17,34,40,22,34,40,24
Florey,08/27/2019,8,21,31,37,18,28,37,24
Florey,08/26/2019,9,12,30,37,24,33,37,24
Monash,08/26/2019,7,9,31,38,24,37,38,24
Civic,08/26/2019,0,0,23,28,23,21,28,24
Florey,08/25/2019,10,17,34,41,32,46,46,24
Civic,08/25/2019,0,0,28,34,33,33,34,24
Monash,08/25/2019,7,7,40,46,37,69,69,24
Civic,08/24/2019,0,0,30,37,32,38,38,24
Monash,08/24/2019,10,23,36,45,38,71,71,24
Florey,08/24/2019,10,20,35,44,30,45,45,24
Florey,08/23/2019,9,20,30,37,24,35,37,24
Monash,08/23/2019,6,23,31,38,25,37,38,24
Civic,08/23/2019,0,0,23,27,29,29,29,24
Florey,08/22/2019,5,7,32,39,7,6,39,24
Monash,08/22/2019,3,6,34,42,8,8,42,24
Civic,08/22/2019,0,0,25,31,9,15,31,24
Civic,08/21/2019,0,0,23,29,10,10,29,24
Monash,08/21/2019,3,0,31,38,3,9,38,24
Florey,08/21/2019,5,1,28,34,7,9,34,24
Monash,08/20/2019,3,2,30,37,5,14,37,24
Florey,08/20/2019,5,3,28,34,8,9,34,24
Civic,08/20/2019,0,0,24,28,10,14,28,24
Monash,08/19/2019,4,2,30,37,28,58,58,24
Florey,08/19/2019,7,5,30,37,27,40,40,24
Civic,08/19/2019,0,0,25,32,21,26,32,24
Civic,08/18/2019,0,0,27,27,22,27,27,22
Florey,08/18/2019,11,21,30,35,27,48,48,23
Monash,08/18/2019,10,23,32,38,31,63,63,23
Florey,08/17/2019,7,18,31,37,22,27,37,24
Civic,08/17/2019,0,0,25,31,24,28,31,24
Monash,08/17/2019,4,15,31,39,19,42,42,24
Florey,08/16/2019,11,19,31,37,23,35,37,24
Monash,08/16/2019,10,16,32,40,21,51,51,24
Civic,08/16/2019,0,0,25,29,23,28,29,24
Monash,08/15/2019,9,16,32,39,32,75,75,24
Civic,08/15/2019,0,0,24,27,26,44,44,24
Florey,08/15/2019,7,16,31,36,28,53,53,24
Monash,08/14/2019,11,22,23,27,32,74,74,24
Florey,08/14/2019,13,14,26,30,29,59,59,24
Civic,08/14/2019,0,0,16,19,28,49,49,24
Monash,08/13/2019,8,19,28,31,20,49,49,24
Civic,08/13/2019,0,0,19,22,19,31,31,24
Florey,08/13/2019,6,15,26,33,10,24,33,24
Monash,08/12/2019,5,20,31,37,10,23,37,25
Civic,08/12/2019,0,0,20,23,14,17,23,25
Florey,08/12/2019,8,15,25,29,10,24,29,25
Civic,08/11/2019,0,0,23,28,4,13,28,24
Monash,08/11/2019,2,3,30,37,3,7,37,24
Florey,08/11/2019,5,4,28,34,5,8,34,24
Civic,08/10/2019,0,0,24,30,16,13,30,24
Monash,08/10/2019,2,1,31,39,11,12,39,24
Florey,08/10/2019,4,1,28,34,20,9,34,24
Florey,08/09/2019,4,1,30,36,26,33,36,24
Civic,08/09/2019,0,0,25,30,17,12,30,24
Monash,08/09/2019,2,0,31,37,17,50,50,24
Civic,08/08/2019,0,0,24,29,35,43,43,24
Monash,08/08/2019,13,19,30,37,38,81,81,24
Florey,08/08/2019,16,18,29,36,38,61,61,24
Florey,08/07/2019,12,22,29,36,30,54,54,24
Civic,08/07/2019,0,0,22,27,34,43,43,24
Monash,08/07/2019,9,26,31,38,30,63,63,24
Civic,08/06/2019,0,0,18,21,28,42,42,24
Monash,08/06/2019,6,16,25,29,35,73,73,24
Florey,08/06/2019,9,15,25,30,30,53,53,24
Monash,08/05/2019,10,16,26,31,37,77,77,24
Civic,08/05/2019,0,0,18,21,30,42,42,24
Florey,08/05/2019,12,13,25,29,31,62,62,24
Florey,08/04/2019,7,12,20,25,23,45,45,24
Civic,08/04/2019,0,0,20,22,23,32,32,24
Monash,08/04/2019,5,16,26,31,21,45,45,24
Civic,08/03/2019,0,0,19,23,28,39,39,24
Florey,08/03/2019,8,11,24,28,24,40,40,24
Monash,08/03/2019,11,17,22,25,30,62,62,24
Florey,08/02/2019,11,14,30,35,34,56,56,22
Civic,08/02/2019,0,0,21,24,25,29,29,22
Monash,08/02/2019,9,22,29,35,31,65,65,22
Civic,08/01/2019,0,0,19,23,27,30,30,24
Florey,08/01/2019,17,15,25,31,38,69,69,24
Monash,08/01/2019,11,22,26,32,36,72,72,24
Florey,07/31/2019,8,20,30,36,24,44,44,24
Civic,07/31/2019,,,24,28,22,27,28,24
Monash,07/31/2019,8,23,30,37,16,30,37,24
Florey,07/30/2019,6,22,29,35,23,32,35,24
Civic,07/30/2019,,,25,30,19,23,30,24
Monash,07/30/2019,7,13,31,38,22,61,61,24
Florey,07/29/2019,8,11,21,25,26,55,55,24
Civic,07/29/2019,,,17,20,22,30,30,24
Monash,07/29/2019,10,11,23,28,30,72,72,24
Civic,07/28/2019,,,24,30,22,30,30,24
Monash,07/28/2019,10,18,28,34,26,60,60,24
Florey,07/28/2019,8,17,27,33,26,57,57,24
Monash,07/27/2019,12,15,26,31,41,90,90,24
Civic,07/27/2019,,,23,28,36,34,36,24
Florey,07/27/2019,9,11,27,31,41,73,73,24
Monash,07/26/2019,13,14,13,13,43,91,91,24
Civic,07/26/2019,,,15,17,41,38,41,24
Florey,07/26/2019,13,15,18,22,40,72,72,24
Florey,07/25/2019,7,18,24,27,28,45,45,24
Monash,07/25/2019,8,23,27,32,30,54,54,24
Civic,07/25/2019,,,19,22,34,36,36,24
Civic,07/24/2019,,,26,32,25,24,32,24
Florey,07/24/2019,2,14,30,37,27,30,37,24
Monash,07/24/2019,2,17,30,38,16,30,38,24
Florey,07/23/2019,10,12,29,35,36,61,61,24
Civic,07/23/2019,,,26,31,36,46,46,24
Monash,07/23/2019,8,12,30,37,26,54,54,24
