,Value
2006-01-01,390
2006-02-01,364
2006-03-01,417
2006-04-01,374
2006-05-01,361
2006-06-01,360
2006-07-01,403
2006-08-01,399
2006-09-01,404
2006-10-01,403
2006-11-01,342
2006-12-01,356
2007-01-01,400
2007-02-01,338
2007-03-01,401
2007-04-01,372
2007-05-01,387
2007-06-01,393
2007-07-01,385
2007-08-01,405
2007-09-01,396
2007-10-01,377
2007-11-01,396
2007-12-01,377
2008-01-01,374
2008-02-01,339
2008-03-01,402
2008-04-01,381
2008-05-01,395
2008-06-01,366
2008-07-01,425
2008-08-01,408
2008-09-01,435
2008-10-01,430
2008-11-01,366
2008-12-01,421
2009-01-01,385
2009-02-01,366
2009-03-01,381
2009-04-01,399
2009-05-01,400
2009-06-01,424
2009-07-01,446
2009-08-01,418
2009-09-01,463
2009-10-01,434
2009-11-01,399
2009-12-01,432
2010-01-01,419
2010-02-01,444
2010-03-01,436
2010-04-01,412
2010-05-01,436
2010-06-01,451
2010-07-01,452
2010-08-01,440
2010-09-01,393
2010-10-01,429
2010-11-01,349
2010-12-01,407
2011-01-01,476
2011-02-01,430
2011-03-01,443
2011-04-01,416
2011-05-01,435
2011-06-01,426
2011-07-01,423
2011-08-01,415
2011-09-01,474
2011-10-01,454
2011-11-01,418
2011-12-01,442
2012-01-01,460
2012-02-01,432
2012-03-01,483
2012-04-01,411
2012-05-01,427
2012-06-01,438
2012-07-01,488
2012-08-01,469
2012-09-01,465
2012-10-01,490
2012-11-01,435
2012-12-01,462
2013-01-01,448
2013-02-01,415
2013-03-01,477
2013-04-01,448
2013-05-01,448
2013-06-01,470
2013-07-01,471
2013-08-01,474
2013-09-01,451
2013-10-01,492
2013-11-01,486
2013-12-01,450
2014-01-01,472
2014-02-01,441
2014-03-01,484
2014-04-01,442
2014-05-01,484
2014-06-01,436
2014-07-01,497
2014-08-01,474
2014-09-01,479
2014-10-01,474
2014-11-01,451
2014-12-01,487
2015-01-01,469
2015-02-01,430
2015-03-01,479
2015-04-01,433
2015-05-01,482
2015-06-01,485
2015-07-01,481
2015-08-01,464
2015-09-01,468
2015-10-01,464
2015-11-01,448
2015-12-01,485
2016-01-01,472
2016-02-01,461
2016-03-01,505
2016-04-01,478
2016-05-01,468
2016-06-01,486
2016-07-01,517
2016-08-01,468
2016-09-01,475
2016-10-01,482
2016-11-01,438
2016-12-01,451
2017-01-01,489
2017-02-01,419
2017-03-01,468
2017-04-01,419
2017-05-01,453
2017-06-01,442
2017-07-01,441
2017-08-01,439
2017-09-01,442
2017-10-01,422
2017-11-01,350
2017-12-01,70
