,Value
2017-01-02,1487827084.838
2017-02-01,1489543709.989
2017-03-01,1491145893.463
2017-04-03,1493034181.129
2017-05-01,1494636364.603
2017-06-01,1496410210.592
2017-07-03,1498241277.419
2017-08-01,1499900681.732
2017-09-01,1501674527.721
2017-10-02,1503448373.710
2017-11-01,1505164998.860
2017-12-01,1506881624.011
2018-01-01,1508655470.000
2018-02-01,1510470906.523
2018-03-01,1512110655.641
2018-04-02,1513984654.633
2018-05-01,1515682966.219
2018-06-01,1517498402.742
2018-07-02,1519313839.266
2018-08-01,1521070713.321
2018-09-03,1523003274.781
2018-10-01,1524643023.899
2018-11-01,1526458460.422
2018-12-03,1528332459.414
2019-01-01,1530030771.000
2019-02-01,1531861008.792
2019-03-01,1533514126.797
2019-04-01,1535344364.589
2019-05-01,1537115562.452
2019-06-03,1539063880.101
2019-07-01,1540716998.107
2019-08-01,1542547235.899
2019-09-02,1544436513.619
2019-10-01,1546148671.553
2019-11-01,1547978909.345
2019-12-02,1549809147.137
2020-01-01,1551580345.000
2020-02-03,1553513765.230
2020-03-02,1555154243.000
2020-04-01,1556911897.754
2020-05-01,1558669552.508
2020-06-01,1560485795.754
2020-07-01,1562243450.508
2020-08-03,1564176870.738
2020-09-01,1565875937.000
2020-10-01,1567633591.754
2020-11-02,1569508423.492
2020-12-01,1571207489.754
2021-01-01,1573023733.000
2021-02-01,1574850851.767
2021-03-01,1576501152.589
2021-04-01,1578328271.356
2021-05-03,1580214329.438
2021-06-01,1581923569.575
2021-07-01,1583691749.027
2021-08-02,1585577807.110
2021-09-01,1587345986.562
2021-10-01,1589114166.014
2021-11-01,1590941284.781
2021-12-01,1592709464.233
2022-01-03,1594652005.307
2022-02-01,1596325628.756
2022-03-01,1597941541.052
2022-04-01,1599730586.808
2022-05-02,1601519632.564
2022-06-01,1603250967.167
2022-07-01,1604982301.770
2022-08-01,1606771347.526
2022-09-01,1608560393.282
2022-10-03,1610407150.192
2022-11-01,1612080773.641
2022-12-01,1613812108.244
2023-01-02,1615657860.266
2023-02-01,1617359048.238
2023-03-01,1618946823.679
2023-04-03,1620818130.449
2023-05-01,1622405905.890
2023-06-01,1624163800.129
2023-07-03,1625978400.633
2023-08-01,1627622882.340
2023-09-01,1629380776.578
2023-10-02,1631138670.816
2023-11-01,1632839858.789
2023-12-01,1634541046.762
2024-01-01,1636298941.000
2024-02-01,1638014180.317
2024-03-01,1639618759.033
2024-04-01,1641333998.350
2024-05-01,1642993907.366
2024-06-03,1644819807.284
2024-07-01,1646369055.699
2024-08-01,1648084295.016
2024-09-02,1649854864.634
2024-10-01,1651459443.350
2024-11-01,1653174682.667
2024-12-02,1654889921.984
2025-01-01,1656549831.000
2025-02-03,1658336512.751
2025-03-03,1659852485.145
2025-04-01,1661422599.411
2025-05-01,1663046855.548
2025-06-02,1664779395.427
2025-07-01,1666349509.693
2025-08-01,1668027907.701
2025-09-01,1669706305.710
2025-10-01,1671330561.847
2025-11-03,1673117243.597
2025-12-01,1674633215.992
2026-01-01,1676311614.000
2026-02-02,1677998680.038
2026-03-02,1679474862.822
2026-04-01,1681056487.233
2026-05-01,1682638111.644
2026-06-01,1684272456.868
2026-07-01,1685854081.279
2026-08-03,1687593868.132
2026-09-01,1689122771.729
2026-10-01,1690704396.140
2026-11-02,1692391462.178
2026-12-01,1693920365.775
2027-01-01,1695554711.000
2027-02-01,1697168812.036
2027-03-01,1698626709.745
2027-04-01,1700240810.781
2027-05-03,1701906979.592
2027-06-01,1703416945.077
2027-07-01,1704978978.337
2027-08-02,1706645147.148
2027-09-01,1708207180.408
2027-10-01,1709769213.668
2027-11-01,1711383314.704
2027-12-01,1712945347.964
2028-01-03,1714661784.262
