Month,Employment,Employment-SA
Feb-1978,61.1,61.2
Mar-1978,61.1,61.0
Apr-1978,61.1,61.2
May-1978,61.1,61.1
Jun-1978,61.0,61.1
Jul-1978,61.0,60.9
Aug-1978,60.9,61.1
Sep-1978,60.8,60.8
Oct-1978,60.8,60.7
Nov-1978,60.7,60.6
Dec-1978,60.7,60.8
Jan-1979,60.7,60.7
Feb-1979,60.6,60.7
Mar-1979,60.6,60.5
Apr-1979,60.6,60.7
May-1979,60.5,60.5
Jun-1979,60.5,60.7
Jul-1979,60.6,60.6
Aug-1979,60.6,60.6
Sep-1979,60.7,60.6
Oct-1979,60.8,61.0
Nov-1979,60.9,60.9
Dec-1979,60.9,60.9
Jan-1980,61.0,61.1
Feb-1980,61.1,61.0
Mar-1980,61.1,61.0
Apr-1980,61.2,61.2
May-1980,61.3,61.4
Jun-1980,61.4,61.4
Jul-1980,61.4,61.5
Aug-1980,61.4,61.5
Sep-1980,61.3,61.4
Oct-1980,61.3,61.2
Nov-1980,61.2,61.1
Dec-1980,61.2,61.4
Jan-1981,61.2,61.2
Feb-1981,61.2,61.1
Mar-1981,61.1,61.1
Apr-1981,61.1,61.1
May-1981,61.1,61.1
Jun-1981,61.1,61.0
Jul-1981,61.1,61.1
Aug-1981,61.1,61.2
Sep-1981,61.1,61.3
Oct-1981,61.1,61.0
Nov-1981,61.1,60.8
Dec-1981,61.0,60.8
Jan-1982,61.0,61.1
Feb-1982,60.9,61.0
Mar-1982,60.9,60.8
Apr-1982,60.8,60.9
May-1982,60.7,60.7
Jun-1982,60.7,60.6
Jul-1982,60.7,60.6
Aug-1982,60.7,60.5
Sep-1982,60.8,60.6
Oct-1982,60.8,61.1
Nov-1982,60.8,60.7
Dec-1982,60.7,60.6
Jan-1983,60.6,60.5
Feb-1983,60.6,60.6
Mar-1983,60.5,60.3
Apr-1983,60.4,60.1
May-1983,60.4,60.5
Jun-1983,60.4,60.3
Jul-1983,60.4,60.5
Aug-1983,60.4,60.3
Sep-1983,60.4,60.6
Oct-1983,60.4,60.3
Nov-1983,60.4,60.4
Dec-1983,60.3,60.4
Jan-1984,60.3,60.3
Feb-1984,60.4,60.3
Mar-1984,60.4,60.6
Apr-1984,60.5,60.7
May-1984,60.6,60.5
Jun-1984,60.6,60.7
Jul-1984,60.6,60.6
Aug-1984,60.5,60.5
Sep-1984,60.5,60.6
Oct-1984,60.4,60.4
Nov-1984,60.4,60.5
Dec-1984,60.4,60.3
Jan-1985,60.4,60.3
Feb-1985,60.4,60.7
Mar-1985,60.4,60.5
Apr-1985,60.5,60.4
May-1985,60.6,60.6
Jun-1985,60.6,60.7
Jul-1985,60.8,60.7
Aug-1985,60.9,60.9
Sep-1985,61.0,61.1
Oct-1985,61.1,60.7
Nov-1985,61.2,61.6
Dec-1985,61.3,61.0
Jan-1986,61.4,61.4
