,Month,Employment
0,1978-02-01,61.1
1,1978-03-01,61.1
2,1978-04-01,61.1
3,1978-05-01,61.1
4,1978-06-01,61.0
5,1978-07-01,61.0
6,1978-08-01,60.9
7,1978-09-01,60.8
8,1978-10-01,60.8
9,1978-11-01,60.7
10,1978-12-01,60.7
11,1979-01-01,60.7
12,1979-02-01,60.6
13,1979-03-01,60.6
14,1979-04-01,60.6
15,1979-05-01,60.5
16,1979-06-01,60.5
17,1979-07-01,60.6
18,1979-08-01,60.6
19,1979-09-01,60.7
20,1979-10-01,60.8
21,1979-11-01,60.9
22,1979-12-01,60.9
23,1980-01-01,61.0
24,1980-02-01,61.1
25,1980-03-01,61.1
26,1980-04-01,61.2
27,1980-05-01,61.3
28,1980-06-01,61.4
29,1980-07-01,61.4
30,1980-08-01,61.4
31,1980-09-01,61.3
32,1980-10-01,61.3
33,1980-11-01,61.2
34,1980-12-01,61.2
35,1981-01-01,61.2
36,1981-02-01,61.2
37,1981-03-01,61.1
38,1981-04-01,61.1
39,1981-05-01,61.1
40,1981-06-01,61.1
41,1981-07-01,61.1
42,1981-08-01,61.1
43,1981-09-01,61.1
44,1981-10-01,61.1
45,1981-11-01,61.1
46,1981-12-01,61.0
47,1982-01-01,61.0
48,1982-02-01,60.9
49,1982-03-01,60.9
50,1982-04-01,60.8
51,1982-05-01,60.7
52,1982-06-01,60.7
53,1982-07-01,60.7
54,1982-08-01,60.7
55,1982-09-01,60.8
56,1982-10-01,60.8
57,1982-11-01,60.8
58,1982-12-01,60.7
59,1983-01-01,60.6
60,1983-02-01,60.6
61,1983-03-01,60.5
62,1983-04-01,60.4
63,1983-05-01,60.4
64,1983-06-01,60.4
65,1983-07-01,60.4
66,1983-08-01,60.4
67,1983-09-01,60.4
68,1983-10-01,60.4
69,1983-11-01,60.4
70,1983-12-01,60.3
71,1984-01-01,60.3
72,1984-02-01,60.4
73,1984-03-01,60.4
74,1984-04-01,60.5
75,1984-05-01,60.6
76,1984-06-01,60.6
77,1984-07-01,60.6
78,1984-08-01,60.5
79,1984-09-01,60.5
80,1984-10-01,60.4
81,1984-11-01,60.4
82,1984-12-01,60.4
83,1985-01-01,60.4
84,1985-02-01,60.4
85,1985-03-01,60.4
86,1985-04-01,60.5
87,1985-05-01,60.6
88,1985-06-01,60.6
89,1985-07-01,60.8
90,1985-08-01,60.9
91,1985-09-01,61.0
92,1985-10-01,61.1
93,1985-11-01,61.2
94,1985-12-01,61.3
95,1986-01-01,61.4
96,1986-02-01,61.5
97,1986-03-01,61.5
98,1986-04-01,61.9
99,1986-05-01,61.9
100,1986-06-01,61.9
101,1986-07-01,61.9
102,1986-08-01,61.9
103,1986-09-01,61.9
104,1986-10-01,61.9
105,1986-11-01,61.9
106,1986-12-01,61.9
107,1987-01-01,61.9
108,1987-02-01,61.9
109,1987-03-01,61.9
110,1987-04-01,62.0
111,1987-05-01,62.0
112,1987-06-01,61.9
113,1987-07-01,61.9
114,1987-08-01,61.9
115,1987-09-01,61.9
116,1987-10-01,61.9
117,1987-11-01,61.9
118,1987-12-01,62.0
119,1988-01-01,62.1
120,1988-02-01,62.2
121,1988-03-01,62.3
122,1988-04-01,62.3
123,1988-05-01,62.3
124,1988-06-01,62.3
125,1988-07-01,62.2
126,1988-08-01,62.3
127,1988-09-01,62.3
128,1988-10-01,62.4
129,1988-11-01,62.5
130,1988-12-01,62.6
131,1989-01-01,62.7
132,1989-02-01,62.8
133,1989-03-01,62.9
134,1989-04-01,63.0
135,1989-05-01,63.0
136,1989-06-01,63.1
137,1989-07-01,63.2
138,1989-08-01,63.3
139,1989-09-01,63.3
140,1989-10-01,63.4
141,1989-11-01,63.4
142,1989-12-01,63.4
143,1990-01-01,63.5
144,1990-02-01,63.5
